match_id,start_time_s,start_time_utc,patch,patch_source,winner,winner_team_index,team_1_average_badge,team_2_average_badge,team_1_hero_1,team_1_hero_2,team_1_hero_3,team_1_hero_4,team_1_hero_5,team_1_hero_6,team_2_hero_1,team_2_hero_2,team_2_hero_3,team_2_hero_4,team_2_hero_5,team_2_hero_6
77953601,1777022552,2026-04-24 09:22:32 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,106,106,63,8,80,77,4,18,3,13,20,58,1,72
77953599,1777022552,2026-04-24 09:22:32 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,112,112,64,8,1,7,14,19,4,52,63,6,12,20
77953578,1777022540,2026-04-24 09:22:20 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,83,83,72,2,1,65,3,11,8,13,4,18,6,7
77953557,1777022524,2026-04-24 09:22:04 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,92,92,31,11,7,63,15,76,77,3,81,67,64,80
77953552,1777022522,2026-04-24 09:22:02 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,81,81,1,69,6,2,12,63,67,31,17,19,65,8
77953509,1777022493,2026-04-24 09:21:33 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,103,103,64,4,65,1,11,31,63,27,25,67,2,58
77953488,1777022482,2026-04-24 09:21:22 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,96,96,65,25,17,64,12,60,58,14,1,4,79,19
77953441,1777022443,2026-04-24 09:20:43 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,13,14,13,14,64,18,77,63,81,76,65,2,66,10
77953434,1777022436,2026-04-24 09:20:36 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,35,35,65,19,79,1,11,80,6,64,20,13,69,76
77953432,1777022436,2026-04-24 09:20:36 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,113,113,31,64,77,76,18,17,52,13,19,67,6,20
77953427,1777022436,2026-04-24 09:20:36 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,16,16,1,13,67,6,69,63,77,76,3,7,18,10
77953426,1777022435,2026-04-24 09:20:35 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,32,32,76,2,25,77,79,20,69,31,7,13,35,16
77953424,1777022433,2026-04-24 09:20:33 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,65,65,13,72,79,11,4,1,7,2,25,12,64,63
77953413,1777022432,2026-04-24 09:20:32 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,55,56,72,31,79,76,7,11,25,12,8,81,13,3
77953406,1777022425,2026-04-24 09:20:25 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,53,53,2,60,76,19,66,50,8,63,1,81,11,65
77953402,1777022422,2026-04-24 09:20:22 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,94,94,1,10,69,18,17,7,77,79,27,60,80,64
77953401,1777022421,2026-04-24 09:20:21 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,23,24,76,20,79,25,7,72,67,58,13,27,64,31
77953397,1777022419,2026-04-24 09:20:19 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,86,86,65,79,19,31,35,17,7,64,27,80,12,20
